sl.no,Short Description,Description,Category,SubCategory,Configuration Item,Impact,Urgency,Priority,Caller_id,Assignment Team
1,INFOR: Issues on routes 0267R2611 and 5076R2611,"Two sales orders (5926265201 and 5926273701) were recorded but for some reason we didn't understand yet they were allocated into route 0.
The orders are crossdocking so, the allocate into the route 7062R2611 didn't go through that's the reason we have those orders in route 0.
Process:
- DC Azambuja (route 7062R2611) -> DC Porto (route 0267R2611) - > McD Rio Tinto 
- DC Azambuja (route 7062R2611) -> DC Porto (route 5076R2611) - > McD Matosinhos
What we had was:
- Route 0 -> DC Porto > Final Customer.
The picking wasn't performed. When DC Porto try to send the route received the following error message:
To correct that, a new route was created to connect the orders and close them to unblock the routes in DC Porto.
But the close order process was done prior to the change of route arrived as well as the start load wasn't performed.
So, we have a failure in integration. Until that is solved, we can't perform the load and invoice them.
The issue happens in DC Porto, but because it's crossdocking it needs to be solved in DC Azambuja too.m",Applications and Software,Business Application,Infor WMS,4,2,3,admin,IT-SC Operations Application Support
2,Kisoft - Panel weight,"Hi everyone, we are having issues with the weight of some Kisoft panels. The panel in question should be 'P-1290-3200-2350-4-1-1-P'. Below is an example with location 4003110001. In detail: Maximum capacity: 4000 kg Available capacity: 834 kg Currently, 2 SSCCs are stored for a total weight of 214 kg, and there are no pending transport orders If we try to store an SSCC of the assigned item, we get an error, but the SSCC's weight is 640Kg",Applications and Software,Business Application,Kisoft,4,3,4,admin,IT-SC Operations Application Support
3,Reopening REQ0263861 - INFOR USER ROCIO MENOR,"Hi, A few days ago we opened the ticket REQ0263861 about user creation for ROCIO MENOR., but right now the user seems to be blocked, Could you unblock the user, KR, attched printscreens",Applications and Software,Business Application,Infor WMS,4,4,4,admin,IT-SC Operations Application Support
4,INFOR: Issues on route 5322R2611 ,"The route 5322R2611 didn't closed correctly. Checking the status we can see that the load is closed. However, if I search for the shipment orders belonging to that route, they are in loaded status. Because of that Ilos didn't received information regarding to the load closed.",Applications and Software,Business Application,Infor WMS,4,2,3,admin,IT-SC Operations Application Support
5,Infor muito lento,"Boa tarde, Temos a aplicação WMS INFOR muito muito lenta, temos os colaboradores parados devido a não ter trabalho liberto. As ordens foram enviadas às 16H e mais de metade delas não foram enviadas, e já passaram duas horas desde esse processo.",Applications and Software,Business Application,Infor WMS,4,2,3,admin,IT-SC Operations Application Support
6,HPT-500-INFOR-006,"Last Wednesday, someone from Market Technology, reach me out to move two of the selected devices to test. The test was regarding the use of chrome icon on INFOR instead of the one we are using. The change I understand it was only to remove icons that weren’t need and applied newer ones, like already did in other tests. But instead, he performed the factory reset and delete it from scale fusion. It was asked to me to execute the setup with a manual that he sent to me. However, this is not my responsibility, the team in charge of this is EUS Team. This team was reached out by the person from Market Technology, but they didn't do anything up until know, that's the reason why I am creating this ticket because I'm waiting for almost a week. We have two devices to be fixed (INC0830833 and INC0816583) at one and two months of waiting. Now we have this one stopped almost a week. We can't keep waiting without any feedback and solution.",Applications and Software,Business Application,Infor WMS,4,2,3,admin,IT-SC Operations Application Support
7,KISOFT 3216 needs to be opened again by KNAPP,"I closed my blocking 3216 in Kisoft, but I did not release goods before. Please ask KNAPP to open 3216 again, so that I can unblock goods. Thank you.",Applications and Software,Business Application,Kisoft,4,2,3,admin,IT-SC Operations Application Support
8,"ES SAN FERNANDO ERROR KISOFT STAGE DAR UBICACIÓN ARTICULO ""tipo stock""",No puedo darle ubicación a un artículo nuevo de cliente nuevo debido a que me pide seleccionar tipo de stock y se cierra kisoft directamente,Applications and Software,Business Application,Kisoft,4,2,3,admin,IT-SC Operations Application Support
9,ES SAN FERNANDO - XML MESSAGE KISOFT SENDS TO SYSTORE TO REPLENISH P-LOC 4050410001 IS NOT WORKING,"The XML message Kisoft sends to Systore in order to replenish p-location 4050410001 is not showing the right value in the field ""target location"" (please see attached file PD141) P-location 4050410001 uses a FSR panel type with storage location ""PD141"", but since the replenishment of this p-location is managed by Systore (the automation WMS), the correct value for field ""target location"" should be ""PD141_A"". We also attach a second example that is working fine (file PD140) where the value of field ""target location"" is right. It shows ""PD140_A"". Please assign this issue to user support team (IT-SC Operations Application Support)",Applications and Software,Business Application,Kisoft,4,2,3,admin,IT-SC Operations Application Support
10,ICH KANN NICHT MEHR AUS KISOFT SEIT 3 TAGEN DRUCKEN!!,"ICH KANN NICHT MEHR AUS KISOFT SEIT 3 TAGEN DRUCKEN!!
I CAN'T PRINT FROM KISOFT FOR 3 DAYS ANYMORE!!",Applications and Software,Business Application,Kisoft,4,3,4,admin,IT-SC Operations Application Support
11,Unable to Access Dims on my Laptop,Seeking for assistance to check my Dims application concern.,Applications and Software,Business Application,DIMS,4,4,4,admin,IT-SC GBS App Support
